nodes,techs,cap_method
CSTR,HFO_pp,linear
CSTR,hvdc_132:MTKR,linear
CSTR,hvdc_132:NBOR,linear
CSTR,hvdc_220:MTKR,linear
MTKR,L_hydro_pp,linear
MTKR,S_hydro_pp,linear
MTKR,hvdc_132:CSTR,linear
MTKR,hvdc_132:NBOR,linear
MTKR,hvdc_132:WSTR,linear
MTKR,hvdc_220:CSTR,linear
MTKR,hvdc_220:NBOR,linear
NBOR,GT_pp,linear
NBOR,HFO_pp,linear
NBOR,L_hydro_pp,linear
NBOR,hvdc_132:CSTR,linear
NBOR,hvdc_132:MTKR,linear
NBOR,hvdc_132:WSTR,linear
NBOR,hvdc_220:MTKR,linear
NBOR,hvdc_220:WSTR,linear
NBOR,on_wind_pp,linear
WSTR,L_hydro_pp,linear
WSTR,S_hydro_pp,linear
WSTR,bio_pp,linear
WSTR,geo_pp,linear
WSTR,hvdc_132:MTKR,linear
WSTR,hvdc_132:NBOR,linear
WSTR,hvdc_220:NBOR,linear
