carrier_tiers,carriers,techs,carrier
in,power,demand_power,1.0
in,power,hvdc_132:CSTR,1.0
in,power,hvdc_132:MTKR,1.0
in,power,hvdc_132:NBOR,1.0
in,power,hvdc_132:WSTR,1.0
in,power,hvdc_220:CSTR,1.0
in,power,hvdc_220:MTKR,1.0
in,power,hvdc_220:NBOR,1.0
in,power,hvdc_220:WSTR,1.0
out,power,GT_pp,1.0
out,power,HFO_pp,1.0
out,power,L_hydro_pp,1.0
out,power,S_hydro_pp,1.0
out,power,bio_pp,1.0
out,power,geo_pp,1.0
out,power,hvdc_132:CSTR,1.0
out,power,hvdc_132:MTKR,1.0
out,power,hvdc_132:NBOR,1.0
out,power,hvdc_132:WSTR,1.0
out,power,hvdc_220:CSTR,1.0
out,power,hvdc_220:MTKR,1.0
out,power,hvdc_220:NBOR,1.0
out,power,hvdc_220:WSTR,1.0
out,power,on_wind_pp,1.0
