nodes,techs,energy_eff
CSTR,HFO_pp,0.3
CSTR,hvdc_132:MTKR,0.9991482308514595
CSTR,hvdc_132:NBOR,0.9973218826962029
CSTR,hvdc_220:MTKR,0.9836932806458487
MTKR,L_hydro_pp,1.0
MTKR,S_hydro_pp,1.0
MTKR,hvdc_132:CSTR,0.9991482308514595
MTKR,hvdc_132:NBOR,0.9954489743853137
MTKR,hvdc_132:WSTR,0.9958731917686812
MTKR,hvdc_220:CSTR,0.9836932806458487
MTKR,hvdc_220:NBOR,0.9930092468866819
NBOR,GT_pp,0.32
NBOR,HFO_pp,0.3
NBOR,L_hydro_pp,1.0
NBOR,hvdc_132:CSTR,0.9973218826962029
NBOR,hvdc_132:MTKR,0.9954489743853137
NBOR,hvdc_132:WSTR,0.995738420776081
NBOR,hvdc_220:MTKR,0.9930092468866819
NBOR,hvdc_220:WSTR,0.9966971887171149
NBOR,on_wind_pp,1.0
WSTR,L_hydro_pp,1.0
WSTR,S_hydro_pp,1.0
WSTR,bio_pp,0.25
WSTR,geo_pp,0.35
WSTR,hvdc_132:MTKR,0.9958731917686812
WSTR,hvdc_132:NBOR,0.995738420776081
WSTR,hvdc_220:NBOR,0.9966971887171149
