nodes,techs,timesteps,resource_con
NBOR,on_wind_pp,2015-01-01 00:00:00,0.231
NBOR,on_wind_pp,2015-01-01 01:00:00,0.253
NBOR,on_wind_pp,2015-01-01 02:00:00,0.29
NBOR,on_wind_pp,2015-01-01 03:00:00,0.299
NBOR,on_wind_pp,2015-01-01 04:00:00,0.185
NBOR,on_wind_pp,2015-01-01 05:00:00,0.248
NBOR,on_wind_pp,2015-01-01 06:00:00,0.186
NBOR,on_wind_pp,2015-01-01 07:00:00,0.101
NBOR,on_wind_pp,2015-01-01 08:00:00,0.068
NBOR,on_wind_pp,2015-01-01 09:00:00,0.068
NBOR,on_wind_pp,2015-01-01 10:00:00,0.087
NBOR,on_wind_pp,2015-01-01 11:00:00,0.129
NBOR,on_wind_pp,2015-01-01 12:00:00,0.201
NBOR,on_wind_pp,2015-01-01 13:00:00,0.32
NBOR,on_wind_pp,2015-01-01 14:00:00,0.48
NBOR,on_wind_pp,2015-01-01 15:00:00,0.635
NBOR,on_wind_pp,2015-01-01 16:00:00,0.697
NBOR,on_wind_pp,2015-01-01 17:00:00,0.654
NBOR,on_wind_pp,2015-01-01 18:00:00,0.575
NBOR,on_wind_pp,2015-01-01 19:00:00,0.494
NBOR,on_wind_pp,2015-01-01 20:00:00,0.45
NBOR,on_wind_pp,2015-01-01 21:00:00,0.417
NBOR,on_wind_pp,2015-01-01 22:00:00,0.405
NBOR,on_wind_pp,2015-01-01 23:00:00,0.391
NBOR,on_wind_pp,2015-01-02 00:00:00,0.382
NBOR,on_wind_pp,2015-01-02 01:00:00,0.375
NBOR,on_wind_pp,2015-01-02 02:00:00,0.363
NBOR,on_wind_pp,2015-01-02 03:00:00,0.352
NBOR,on_wind_pp,2015-01-02 04:00:00,0.231
NBOR,on_wind_pp,2015-01-02 05:00:00,0.231
NBOR,on_wind_pp,2015-01-02 06:00:00,0.151
NBOR,on_wind_pp,2015-01-02 07:00:00,0.078
NBOR,on_wind_pp,2015-01-02 08:00:00,0.063
NBOR,on_wind_pp,2015-01-02 09:00:00,0.083
NBOR,on_wind_pp,2015-01-02 10:00:00,0.117
NBOR,on_wind_pp,2015-01-02 11:00:00,0.163
NBOR,on_wind_pp,2015-01-02 12:00:00,0.229
NBOR,on_wind_pp,2015-01-02 13:00:00,0.313
NBOR,on_wind_pp,2015-01-02 14:00:00,0.429
NBOR,on_wind_pp,2015-01-02 15:00:00,0.574
NBOR,on_wind_pp,2015-01-02 16:00:00,0.7
NBOR,on_wind_pp,2015-01-02 17:00:00,0.718
NBOR,on_wind_pp,2015-01-02 18:00:00,0.666
NBOR,on_wind_pp,2015-01-02 19:00:00,0.612
NBOR,on_wind_pp,2015-01-02 20:00:00,0.563
NBOR,on_wind_pp,2015-01-02 21:00:00,0.523
NBOR,on_wind_pp,2015-01-02 22:00:00,0.51
NBOR,on_wind_pp,2015-01-02 23:00:00,0.495
NBOR,on_wind_pp,2015-01-03 00:00:00,0.483
NBOR,on_wind_pp,2015-01-03 01:00:00,0.471
NBOR,on_wind_pp,2015-01-03 02:00:00,0.467
NBOR,on_wind_pp,2015-01-03 03:00:00,0.46
NBOR,on_wind_pp,2015-01-03 04:00:00,0.341
NBOR,on_wind_pp,2015-01-03 05:00:00,0.278
NBOR,on_wind_pp,2015-01-03 06:00:00,0.146
NBOR,on_wind_pp,2015-01-03 07:00:00,0.058
NBOR,on_wind_pp,2015-01-03 08:00:00,0.034
NBOR,on_wind_pp,2015-01-03 09:00:00,0.038
NBOR,on_wind_pp,2015-01-03 10:00:00,0.057
NBOR,on_wind_pp,2015-01-03 11:00:00,0.092
NBOR,on_wind_pp,2015-01-03 12:00:00,0.155
NBOR,on_wind_pp,2015-01-03 13:00:00,0.253
NBOR,on_wind_pp,2015-01-03 14:00:00,0.403
NBOR,on_wind_pp,2015-01-03 15:00:00,0.578
NBOR,on_wind_pp,2015-01-03 16:00:00,0.694
NBOR,on_wind_pp,2015-01-03 17:00:00,0.674
NBOR,on_wind_pp,2015-01-03 18:00:00,0.594
NBOR,on_wind_pp,2015-01-03 19:00:00,0.455
NBOR,on_wind_pp,2015-01-03 20:00:00,0.327
NBOR,on_wind_pp,2015-01-03 21:00:00,0.284
NBOR,on_wind_pp,2015-01-03 22:00:00,0.259
NBOR,on_wind_pp,2015-01-03 23:00:00,0.213
