costs,nodes,techs,cost_om_prod
monetary,CSTR,HFO_pp,0.0088
monetary,CSTR,hvdc_132:MTKR,0.00013156
monetary,CSTR,hvdc_132:NBOR,0.00013156
monetary,CSTR,hvdc_220:MTKR,0.000120348
monetary,MTKR,L_hydro_pp,0.0005
monetary,MTKR,S_hydro_pp,0.0
monetary,MTKR,hvdc_132:CSTR,0.00013156
monetary,MTKR,hvdc_132:NBOR,0.00013156
monetary,MTKR,hvdc_132:WSTR,0.00013156
monetary,MTKR,hvdc_220:CSTR,0.000120348
monetary,MTKR,hvdc_220:NBOR,0.000120348
monetary,NBOR,GT_pp,0.0125
monetary,NBOR,HFO_pp,0.0088
monetary,NBOR,L_hydro_pp,0.0005
monetary,NBOR,hvdc_132:CSTR,0.00013156
monetary,NBOR,hvdc_132:MTKR,0.00013156
monetary,NBOR,hvdc_132:WSTR,0.00013156
monetary,NBOR,hvdc_220:MTKR,0.000120348
monetary,NBOR,hvdc_220:WSTR,0.000120348
monetary,WSTR,L_hydro_pp,0.0005
monetary,WSTR,S_hydro_pp,0.0
monetary,WSTR,bio_pp,0.0086
monetary,WSTR,hvdc_132:MTKR,0.00013156
monetary,WSTR,hvdc_132:NBOR,0.00013156
monetary,WSTR,hvdc_220:NBOR,0.000120348
