nodes,techs,energy_cap_equals
CSTR,HFO_pp,345000.0
CSTR,hvdc_132:MTKR,79918.0
CSTR,hvdc_132:NBOR,116777.5
CSTR,hvdc_220:MTKR,292275.5
MTKR,L_hydro_pp,185000.0
MTKR,S_hydro_pp,8900.0
MTKR,hvdc_132:CSTR,79918.0
MTKR,hvdc_132:NBOR,154778.5
MTKR,hvdc_132:WSTR,130525.5
MTKR,hvdc_220:CSTR,292275.5
MTKR,hvdc_220:NBOR,230151.0
NBOR,GT_pp,60000.0
NBOR,HFO_pp,359000.0
NBOR,L_hydro_pp,130000.0
NBOR,hvdc_132:CSTR,116777.5
NBOR,hvdc_132:MTKR,154778.5
NBOR,hvdc_132:WSTR,267922.0
NBOR,hvdc_220:MTKR,230151.0
NBOR,hvdc_220:WSTR,654257.0
NBOR,on_wind_pp,25000.0
WSTR,L_hydro_pp,470500.0
WSTR,S_hydro_pp,2170.0
WSTR,bio_pp,36000.0
WSTR,geo_pp,624000.0
WSTR,hvdc_132:MTKR,130525.5
WSTR,hvdc_132:NBOR,267922.0
WSTR,hvdc_220:NBOR,654257.0
