nodes,techs,timesteps,required_resource
CSTR,demand_power,2015-01-01 00:00:00,-176970.0
CSTR,demand_power,2015-01-01 01:00:00,-181620.0
CSTR,demand_power,2015-01-01 02:00:00,-178760.0
CSTR,demand_power,2015-01-01 03:00:00,-174245.0
CSTR,demand_power,2015-01-01 04:00:00,-169545.0
CSTR,demand_power,2015-01-01 05:00:00,-167510.0
CSTR,demand_power,2015-01-01 06:00:00,-160635.0
CSTR,demand_power,2015-01-01 07:00:00,-157615.0
CSTR,demand_power,2015-01-01 08:00:00,-169725.0
CSTR,demand_power,2015-01-01 09:00:00,-173660.0
CSTR,demand_power,2015-01-01 10:00:00,-171065.0
CSTR,demand_power,2015-01-01 11:00:00,-168910.0
CSTR,demand_power,2015-01-01 12:00:00,-165000.0
CSTR,demand_power,2015-01-01 13:00:00,-165100.0
CSTR,demand_power,2015-01-01 14:00:00,-164510.0
CSTR,demand_power,2015-01-01 15:00:00,-168080.0
CSTR,demand_power,2015-01-01 16:00:00,-165835.0
CSTR,demand_power,2015-01-01 17:00:00,-161625.0
CSTR,demand_power,2015-01-01 18:00:00,-176680.0
CSTR,demand_power,2015-01-01 19:00:00,-202400.0
CSTR,demand_power,2015-01-01 20:00:00,-205495.0
CSTR,demand_power,2015-01-01 21:00:00,-200575.0
CSTR,demand_power,2015-01-01 22:00:00,-178875.0
CSTR,demand_power,2015-01-01 23:00:00,-156660.0
CSTR,demand_power,2015-01-02 00:00:00,-160265.0
CSTR,demand_power,2015-01-02 01:00:00,-162880.0
CSTR,demand_power,2015-01-02 02:00:00,-162140.0
CSTR,demand_power,2015-01-02 03:00:00,-155025.0
CSTR,demand_power,2015-01-02 04:00:00,-154290.0
CSTR,demand_power,2015-01-02 05:00:00,-149475.0
CSTR,demand_power,2015-01-02 06:00:00,-146865.0
CSTR,demand_power,2015-01-02 07:00:00,-156985.0
CSTR,demand_power,2015-01-02 08:00:00,-177410.0
CSTR,demand_power,2015-01-02 09:00:00,-185000.0
CSTR,demand_power,2015-01-02 10:00:00,-190750.0
CSTR,demand_power,2015-01-02 11:00:00,-191045.0
CSTR,demand_power,2015-01-02 12:00:00,-188710.0
CSTR,demand_power,2015-01-02 13:00:00,-188665.0
CSTR,demand_power,2015-01-02 14:00:00,-187555.0
CSTR,demand_power,2015-01-02 15:00:00,-187920.0
CSTR,demand_power,2015-01-02 16:00:00,-190085.0
CSTR,demand_power,2015-01-02 17:00:00,-188250.0
CSTR,demand_power,2015-01-02 18:00:00,-194235.0
CSTR,demand_power,2015-01-02 19:00:00,-221545.0
CSTR,demand_power,2015-01-02 20:00:00,-217550.0
CSTR,demand_power,2015-01-02 21:00:00,-215880.0
CSTR,demand_power,2015-01-02 22:00:00,-201660.0
CSTR,demand_power,2015-01-02 23:00:00,-188015.0
CSTR,demand_power,2015-01-03 00:00:00,-159980.0
CSTR,demand_power,2015-01-03 01:00:00,-153050.0
CSTR,demand_power,2015-01-03 02:00:00,-147200.0
CSTR,demand_power,2015-01-03 03:00:00,-146820.0
CSTR,demand_power,2015-01-03 04:00:00,-144990.0
CSTR,demand_power,2015-01-03 05:00:00,-146325.0
CSTR,demand_power,2015-01-03 06:00:00,-138710.0
CSTR,demand_power,2015-01-03 07:00:00,-150720.0
CSTR,demand_power,2015-01-03 08:00:00,-166110.0
CSTR,demand_power,2015-01-03 09:00:00,-175160.0
CSTR,demand_power,2015-01-03 10:00:00,-181725.0
CSTR,demand_power,2015-01-03 11:00:00,-180765.0
CSTR,demand_power,2015-01-03 12:00:00,-180465.0
CSTR,demand_power,2015-01-03 13:00:00,-174090.0
CSTR,demand_power,2015-01-03 14:00:00,-159905.0
CSTR,demand_power,2015-01-03 15:00:00,-167530.0
CSTR,demand_power,2015-01-03 16:00:00,-165640.0
CSTR,demand_power,2015-01-03 17:00:00,-164085.0
CSTR,demand_power,2015-01-03 18:00:00,-173030.0
CSTR,demand_power,2015-01-03 19:00:00,-199705.0
CSTR,demand_power,2015-01-03 20:00:00,-202735.0
CSTR,demand_power,2015-01-03 21:00:00,-194145.0
CSTR,demand_power,2015-01-03 22:00:00,-187665.0
CSTR,demand_power,2015-01-03 23:00:00,-169550.0
MTKR,demand_power,2015-01-01 00:00:00,-83342.20833
MTKR,demand_power,2015-01-01 01:00:00,-78188.20833
MTKR,demand_power,2015-01-01 02:00:00,-72696.20833
MTKR,demand_power,2015-01-01 03:00:00,-70681.20833
MTKR,demand_power,2015-01-01 04:00:00,-69368.20833
MTKR,demand_power,2015-01-01 05:00:00,-72553.20833
MTKR,demand_power,2015-01-01 06:00:00,-75391.20833
MTKR,demand_power,2015-01-01 07:00:00,-76178.20833
MTKR,demand_power,2015-01-01 08:00:00,-84927.20833
MTKR,demand_power,2015-01-01 09:00:00,-87777.20833
MTKR,demand_power,2015-01-01 10:00:00,-92127.20833
MTKR,demand_power,2015-01-01 11:00:00,-89383.20833
MTKR,demand_power,2015-01-01 12:00:00,-89027.20833
MTKR,demand_power,2015-01-01 13:00:00,-88837.20833
MTKR,demand_power,2015-01-01 14:00:00,-86737.20833
MTKR,demand_power,2015-01-01 15:00:00,-84136.20833
MTKR,demand_power,2015-01-01 16:00:00,-82235.20833
MTKR,demand_power,2015-01-01 17:00:00,-80063.20833
MTKR,demand_power,2015-01-01 18:00:00,-94639.20833
MTKR,demand_power,2015-01-01 19:00:00,-122837.2083
MTKR,demand_power,2015-01-01 20:00:00,-126453.2083
MTKR,demand_power,2015-01-01 21:00:00,-118705.2083
MTKR,demand_power,2015-01-01 22:00:00,-97205.20833
MTKR,demand_power,2015-01-01 23:00:00,-76995.20833
MTKR,demand_power,2015-01-02 00:00:00,-65756.0
MTKR,demand_power,2015-01-02 01:00:00,-60114.0
MTKR,demand_power,2015-01-02 02:00:00,-58579.0
MTKR,demand_power,2015-01-02 03:00:00,-58713.0
MTKR,demand_power,2015-01-02 04:00:00,-59556.0
MTKR,demand_power,2015-01-02 05:00:00,-62992.0
MTKR,demand_power,2015-01-02 06:00:00,-69347.0
MTKR,demand_power,2015-01-02 07:00:00,-80224.0
MTKR,demand_power,2015-01-02 08:00:00,-87775.0
MTKR,demand_power,2015-01-02 09:00:00,-92126.0
MTKR,demand_power,2015-01-02 10:00:00,-93626.0
MTKR,demand_power,2015-01-02 11:00:00,-92076.0
MTKR,demand_power,2015-01-02 12:00:00,-94208.0
MTKR,demand_power,2015-01-02 13:00:00,-93206.0
MTKR,demand_power,2015-01-02 14:00:00,-92254.0
MTKR,demand_power,2015-01-02 15:00:00,-95504.0
MTKR,demand_power,2015-01-02 16:00:00,-96152.0
MTKR,demand_power,2015-01-02 17:00:00,-92052.0
MTKR,demand_power,2015-01-02 18:00:00,-102502.0
MTKR,demand_power,2015-01-02 19:00:00,-138798.0
MTKR,demand_power,2015-01-02 20:00:00,-135713.0
MTKR,demand_power,2015-01-02 21:00:00,-127994.0
MTKR,demand_power,2015-01-02 22:00:00,-107344.0
MTKR,demand_power,2015-01-02 23:00:00,-86064.0
MTKR,demand_power,2015-01-03 00:00:00,-72822.04167
MTKR,demand_power,2015-01-03 01:00:00,-69330.04167
MTKR,demand_power,2015-01-03 02:00:00,-67694.04167
MTKR,demand_power,2015-01-03 03:00:00,-66381.04167
MTKR,demand_power,2015-01-03 04:00:00,-66615.04167
MTKR,demand_power,2015-01-03 05:00:00,-72602.04167
MTKR,demand_power,2015-01-03 06:00:00,-78466.04167
MTKR,demand_power,2015-01-03 07:00:00,-85832.04167
MTKR,demand_power,2015-01-03 08:00:00,-96781.04167
MTKR,demand_power,2015-01-03 09:00:00,-102231.0417
MTKR,demand_power,2015-01-03 10:00:00,-105331.0417
MTKR,demand_power,2015-01-03 11:00:00,-100863.0417
MTKR,demand_power,2015-01-03 12:00:00,-101114.0417
MTKR,demand_power,2015-01-03 13:00:00,-100175.0417
MTKR,demand_power,2015-01-03 14:00:00,-101625.0417
MTKR,demand_power,2015-01-03 15:00:00,-101224.0417
MTKR,demand_power,2015-01-03 16:00:00,-96373.04167
MTKR,demand_power,2015-01-03 17:00:00,-95625.04167
MTKR,demand_power,2015-01-03 18:00:00,-104079.0417
MTKR,demand_power,2015-01-03 19:00:00,-134295.0417
MTKR,demand_power,2015-01-03 20:00:00,-131910.0417
MTKR,demand_power,2015-01-03 21:00:00,-125220.0417
MTKR,demand_power,2015-01-03 22:00:00,-104718.0417
MTKR,demand_power,2015-01-03 23:00:00,-83497.04167
NBOR,demand_power,2015-01-01 00:00:00,-400378.5417
NBOR,demand_power,2015-01-01 01:00:00,-365928.5417
NBOR,demand_power,2015-01-01 02:00:00,-346018.5417
NBOR,demand_power,2015-01-01 03:00:00,-332958.5417
NBOR,demand_power,2015-01-01 04:00:00,-324298.5417
NBOR,demand_power,2015-01-01 05:00:00,-329598.5417
NBOR,demand_power,2015-01-01 06:00:00,-356468.5417
NBOR,demand_power,2015-01-01 07:00:00,-384748.5417
NBOR,demand_power,2015-01-01 08:00:00,-418058.5417
NBOR,demand_power,2015-01-01 09:00:00,-415608.5417
NBOR,demand_power,2015-01-01 10:00:00,-408988.5417
NBOR,demand_power,2015-01-01 11:00:00,-410788.5417
NBOR,demand_power,2015-01-01 12:00:00,-406838.5417
NBOR,demand_power,2015-01-01 13:00:00,-429458.5417
NBOR,demand_power,2015-01-01 14:00:00,-416868.5417
NBOR,demand_power,2015-01-01 15:00:00,-387768.5417
NBOR,demand_power,2015-01-01 16:00:00,-377488.5417
NBOR,demand_power,2015-01-01 17:00:00,-377798.5417
NBOR,demand_power,2015-01-01 18:00:00,-433418.5417
NBOR,demand_power,2015-01-01 19:00:00,-526148.5417
NBOR,demand_power,2015-01-01 20:00:00,-518228.5417
NBOR,demand_power,2015-01-01 21:00:00,-492738.5417
NBOR,demand_power,2015-01-01 22:00:00,-428528.5417
NBOR,demand_power,2015-01-01 23:00:00,-365198.5417
NBOR,demand_power,2015-01-02 00:00:00,-320154.75
NBOR,demand_power,2015-01-02 01:00:00,-305934.75
NBOR,demand_power,2015-01-02 02:00:00,-297174.75
NBOR,demand_power,2015-01-02 03:00:00,-289194.75
NBOR,demand_power,2015-01-02 04:00:00,-288484.75
NBOR,demand_power,2015-01-02 05:00:00,-305924.75
NBOR,demand_power,2015-01-02 06:00:00,-357624.75
NBOR,demand_power,2015-01-02 07:00:00,-404444.75
NBOR,demand_power,2015-01-02 08:00:00,-457494.75
NBOR,demand_power,2015-01-02 09:00:00,-511244.75
NBOR,demand_power,2015-01-02 10:00:00,-510764.75
NBOR,demand_power,2015-01-02 11:00:00,-500364.75
NBOR,demand_power,2015-01-02 12:00:00,-513414.75
NBOR,demand_power,2015-01-02 13:00:00,-496494.75
NBOR,demand_power,2015-01-02 14:00:00,-495264.75
NBOR,demand_power,2015-01-02 15:00:00,-507244.75
NBOR,demand_power,2015-01-02 16:00:00,-504284.75
NBOR,demand_power,2015-01-02 17:00:00,-489814.75
NBOR,demand_power,2015-01-02 18:00:00,-530864.75
NBOR,demand_power,2015-01-02 19:00:00,-647844.75
NBOR,demand_power,2015-01-02 20:00:00,-602054.75
NBOR,demand_power,2015-01-02 21:00:00,-585514.75
NBOR,demand_power,2015-01-02 22:00:00,-504324.75
NBOR,demand_power,2015-01-02 23:00:00,-436084.75
NBOR,demand_power,2015-01-03 00:00:00,-375820.0
NBOR,demand_power,2015-01-03 01:00:00,-359300.0
NBOR,demand_power,2015-01-03 02:00:00,-345810.0
NBOR,demand_power,2015-01-03 03:00:00,-352720.0
NBOR,demand_power,2015-01-03 04:00:00,-352960.0
NBOR,demand_power,2015-01-03 05:00:00,-358760.0
NBOR,demand_power,2015-01-03 06:00:00,-393690.0
NBOR,demand_power,2015-01-03 07:00:00,-455620.0
NBOR,demand_power,2015-01-03 08:00:00,-505830.0
NBOR,demand_power,2015-01-03 09:00:00,-533220.0
NBOR,demand_power,2015-01-03 10:00:00,-524540.0
NBOR,demand_power,2015-01-03 11:00:00,-536350.0
NBOR,demand_power,2015-01-03 12:00:00,-535880.0
NBOR,demand_power,2015-01-03 13:00:00,-524150.0
NBOR,demand_power,2015-01-03 14:00:00,-505830.0
NBOR,demand_power,2015-01-03 15:00:00,-496690.0
NBOR,demand_power,2015-01-03 16:00:00,-499290.0
NBOR,demand_power,2015-01-03 17:00:00,-499500.0
NBOR,demand_power,2015-01-03 18:00:00,-532560.0
NBOR,demand_power,2015-01-03 19:00:00,-635460.0
NBOR,demand_power,2015-01-03 20:00:00,-637870.0
NBOR,demand_power,2015-01-03 21:00:00,-601260.0
NBOR,demand_power,2015-01-03 22:00:00,-497380.0
NBOR,demand_power,2015-01-03 23:00:00,-433990.0
WSTR,demand_power,2015-01-01 00:00:00,-182724.125
WSTR,demand_power,2015-01-01 01:00:00,-162158.625
WSTR,demand_power,2015-01-01 02:00:00,-155793.625
WSTR,demand_power,2015-01-01 03:00:00,-151243.625
WSTR,demand_power,2015-01-01 04:00:00,-152448.625
WSTR,demand_power,2015-01-01 05:00:00,-167050.625
WSTR,demand_power,2015-01-01 06:00:00,-146388.625
WSTR,demand_power,2015-01-01 07:00:00,-142768.125
WSTR,demand_power,2015-01-01 08:00:00,-150496.625
WSTR,demand_power,2015-01-01 09:00:00,-153701.625
WSTR,demand_power,2015-01-01 10:00:00,-164546.0833
WSTR,demand_power,2015-01-01 11:00:00,-185012.5417
WSTR,demand_power,2015-01-01 12:00:00,-185311.5417
WSTR,demand_power,2015-01-01 13:00:00,-182356.5417
WSTR,demand_power,2015-01-01 14:00:00,-178095.5417
WSTR,demand_power,2015-01-01 15:00:00,-174168.5417
WSTR,demand_power,2015-01-01 16:00:00,-171633.5417
WSTR,demand_power,2015-01-01 17:00:00,-168890.5417
WSTR,demand_power,2015-01-01 18:00:00,-197391.5417
WSTR,demand_power,2015-01-01 19:00:00,-255036.5417
WSTR,demand_power,2015-01-01 20:00:00,-253428.5417
WSTR,demand_power,2015-01-01 21:00:00,-218879.5417
WSTR,demand_power,2015-01-01 22:00:00,-177041.5417
WSTR,demand_power,2015-01-01 23:00:00,-150484.5417
WSTR,demand_power,2015-01-02 00:00:00,-138822.5417
WSTR,demand_power,2015-01-02 01:00:00,-137093.5417
WSTR,demand_power,2015-01-02 02:00:00,-135112.5417
WSTR,demand_power,2015-01-02 03:00:00,-122977.5417
WSTR,demand_power,2015-01-02 04:00:00,-125099.5417
WSTR,demand_power,2015-01-02 05:00:00,-133831.5417
WSTR,demand_power,2015-01-02 06:00:00,-146791.5417
WSTR,demand_power,2015-01-02 07:00:00,-174571.5417
WSTR,demand_power,2015-01-02 08:00:00,-196268.5417
WSTR,demand_power,2015-01-02 09:00:00,-201407.5417
WSTR,demand_power,2015-01-02 10:00:00,-203939.5417
WSTR,demand_power,2015-01-02 11:00:00,-207168.5417
WSTR,demand_power,2015-01-02 12:00:00,-209590.5417
WSTR,demand_power,2015-01-02 13:00:00,-205223.5417
WSTR,demand_power,2015-01-02 14:00:00,-202619.5417
WSTR,demand_power,2015-01-02 15:00:00,-192062.5417
WSTR,demand_power,2015-01-02 16:00:00,-193606.5417
WSTR,demand_power,2015-01-02 17:00:00,-193720.5417
WSTR,demand_power,2015-01-02 18:00:00,-199916.5417
WSTR,demand_power,2015-01-02 19:00:00,-270424.5417
WSTR,demand_power,2015-01-02 20:00:00,-268228.5417
WSTR,demand_power,2015-01-02 21:00:00,-244067.5417
WSTR,demand_power,2015-01-02 22:00:00,-196377.5417
WSTR,demand_power,2015-01-02 23:00:00,-172820.5417
WSTR,demand_power,2015-01-03 00:00:00,-154386.4167
WSTR,demand_power,2015-01-03 01:00:00,-149110.4167
WSTR,demand_power,2015-01-03 02:00:00,-143524.4167
WSTR,demand_power,2015-01-03 03:00:00,-141399.4167
WSTR,demand_power,2015-01-03 04:00:00,-139224.4167
WSTR,demand_power,2015-01-03 05:00:00,-147423.4167
WSTR,demand_power,2015-01-03 06:00:00,-167883.4167
WSTR,demand_power,2015-01-03 07:00:00,-185122.4167
WSTR,demand_power,2015-01-03 08:00:00,-202265.4167
WSTR,demand_power,2015-01-03 09:00:00,-205512.4167
WSTR,demand_power,2015-01-03 10:00:00,-209508.4167
WSTR,demand_power,2015-01-03 11:00:00,-202490.4167
WSTR,demand_power,2015-01-03 12:00:00,-213634.4167
WSTR,demand_power,2015-01-03 13:00:00,-201272.4167
WSTR,demand_power,2015-01-03 14:00:00,-180253.4167
WSTR,demand_power,2015-01-03 15:00:00,-178804.4167
WSTR,demand_power,2015-01-03 16:00:00,-191535.4167
WSTR,demand_power,2015-01-03 17:00:00,-199450.4167
WSTR,demand_power,2015-01-03 18:00:00,-220642.4167
WSTR,demand_power,2015-01-03 19:00:00,-277792.4167
WSTR,demand_power,2015-01-03 20:00:00,-266693.4167
WSTR,demand_power,2015-01-03 21:00:00,-237472.4167
WSTR,demand_power,2015-01-03 22:00:00,-214797.4167
WSTR,demand_power,2015-01-03 23:00:00,-172075.4167
